Id,SalePrice
1461,126780.05
1462,155221.008
1463,174062.53
1464,180346.568
1465,199594.636
1466,182985.608
1467,166678.98
1468,175714.968
1469,179769.098
1470,129512.486
1471,196801.09
1472,93131.1
1473,96408.474
1474,152220.68
1475,145153.116
1476,386276.796
1477,252450.812
1478,315054.786
1479,258476.138
1480,411642.254
1481,301667.678
1482,208398.07
1483,175574.258
1484,177499.142
1485,178054.652
1486,199342.61
1487,325138.262
1488,241997.766
1489,213125.842
1490,191172.688
1491,190953.062
1492,99240.552
1493,175211.898
1494,301825.63
1495,284128.522
1496,219003.824
1497,195254.15
1498,153575.116
1499,153626.562
1500,148751.396
1501,173240.122
1502,166522.514
1503,277998.456
1504,235167.898
1505,214128.51
1506,186077.666
1507,209747.194
1508,194089.012
1509,164086.308
1510,154387.95
1511,153920.064
1512,161745.486
1513,154937.68
1514,154148.73
1515,171575.632
1516,158723.544
1517,154349.7
1518,129880.606
1519,220664.646
1520,141713.05
1521,145532.35
1522,160159.38
1523,113766.214
1524,125417.91
1525,123812.618
1526,125475.75
1527,101725.038
1528,129774.582
1529,144008.7
1530,168382.072
1531,125687.408
1532,113573.652
1533,143013.816
1534,117410.026
1535,149900.966
1536,120208.89
1537,79822.872
1538,178822.102
1539,251300.426
1540,115339.734
1541,150230.126
1542,140582.776
1543,223882.806
1544,86404.626
1545,106289.316
1546,120256.128
1547,133405.758
1548,136591.984
1549,113675.51
1550,139442.002
1551,122659.086
1552,144992.386
1553,149146.564
1554,116275.778
1555,167895.286
1556,94602.274
1557,122061.182
1558,93987.982
1559,113971.132
1560,143981.912
1561,139349.722
1562,127821.33
1563,124189.732
1564,160198.922
1565,149809.252
1566,217161.916
1567,82520.058
1568,217811.692
1569,154288.828
1570,120417.8
1571,129074.258
1572,146359.78
1573,243136.362
1574,117875.844
1575,203675.698
1576,207698.186
1577,206646.506
1578,156080.25
1579,143919.986
1580,190519.158
1581,139972.192
1582,130414.786
1583,324969.75
1584,248522.642
1585,139584.0
1586,81764.186
1587,100338.08
1588,148920.474
1589,98672.194
1590,137451.79
1591,106840.342
1592,135785.624
1593,116982.364
1594,140030.62
1595,118316.36
1596,236772.582
1597,162399.608
1598,199091.69
1599,206061.694
1600,195715.918
1601,79373.744
1602,108788.052
1603,89205.108
1604,284958.494
1605,250365.354
1606,170450.664
1607,167887.016
1608,213533.44
1609,203874.498
1610,161340.452
1611,149729.008
1612,164432.052
1613,162816.184
1614,122515.236
1615,89184.2
1616,81276.666
1617,87724.4
1618,128408.752
1619,125857.812
1620,152050.996
1621,130294.154
1622,151700.038
1623,291974.134
1624,205707.514
1625,128157.14
1626,171557.77
1627,185228.028
1628,279738.058
1629,177518.008
1630,333517.35
1631,213978.174
1632,244745.346
1633,171593.204
1634,181739.476
1635,175570.862
1636,164440.684
1637,171542.238
1638,220011.658
1639,181601.064
1640,250486.032
1641,182429.038
1642,224438.636
1643,228199.292
1644,228276.756
1645,175910.664
1646,153678.164
1647,164419.66
1648,145301.0
1649,142660.1
1650,126711.628
1651,127241.85
1652,91784.752
1653,97950.784
1654,156041.252
1655,159964.874
1656,150553.994
1657,153145.242
1658,153058.374
1659,146711.268
1660,144529.414
1661,436841.214
1662,382262.196
1663,373410.022
1664,394273.838
1665,331057.626
1666,336886.894
1667,355299.386
1668,342409.6
1669,306430.754
1670,354037.244
1671,258017.204
1672,429137.642
1673,305829.784
1674,254731.11
1675,188059.826
1676,190049.12
1677,214115.836
1678,397394.048
1679,362985.822
1680,324116.752
1681,276419.442
1682,302078.078
1683,193162.508
1684,172657.174
1685,173388.352
1686,173057.084
1687,169215.258
1688,190152.482
1689,188810.094
1690,182661.122
1691,175266.504
1692,267971.27
1693,171871.35
1694,180514.242
1695,170373.284
1696,264655.106
1697,171469.14
1698,334294.098
1699,307540.552
1700,253091.156
1701,272356.554
1702,254835.266
1703,253627.478
1704,295460.252
1705,223919.328
1706,394397.76
1707,224642.082
1708,220078.246
1709,295979.26
1710,225355.784
1711,261962.44
1712,228720.722
1713,243035.302
1714,220143.046
1715,200942.262
1716,180858.228
1717,166355.308
1718,147953.606
1719,203530.912
1720,250740.03
1721,170338.962
1722,143141.476
1723,158346.268
1724,217381.55
1725,232236.672
1726,186008.79
1727,175304.292
1728,187847.504
1729,165717.918
1730,166326.852
1731,124400.41
1732,131760.096
1733,128294.512
1734,131985.182
1735,134398.52
1736,115542.198
1737,360609.766
1738,218643.712
1739,264916.552
1740,190452.274
1741,173341.688
1742,171631.536
1743,176787.126
1744,308852.952
1745,239546.432
1746,258439.308
1747,222116.748
1748,206724.828
1749,161138.588
1750,152200.3
1751,230554.716
1752,125818.566
1753,146324.986
1754,225232.312
1755,165648.608
1756,126886.358
1757,124895.986
1758,146996.67
1759,160555.434
1760,158450.31
1761,153455.206
1762,170964.018
1763,166257.928
1764,117274.74
1765,167002.216
1766,166555.524
1767,194854.066
1768,140189.0
1769,169325.734
1770,142211.67
1771,139011.464
1772,141988.224
1773,141549.632
1774,128919.878
1775,133936.628
1776,113977.652
1777,117535.186
1778,129173.268
1779,121660.028
1780,177413.374
1781,131101.646
1782,100789.598
1783,130489.866
1784,94322.11
1785,119345.53
1786,146968.856
1787,170462.736
1788,69219.99
1789,97307.568
1790,92259.65
1791,173020.184
1792,156327.948
1793,132784.78
1794,141057.726
1795,141223.1
1796,124701.74
1797,111882.046
1798,125226.45
1799,113620.114
1800,129660.834
1801,131315.078
1802,153712.678
1803,152339.196
1804,141756.66
1805,136408.9
1806,121741.098
1807,149576.88
1808,121223.74
1809,131892.196
1810,143284.828
1811,118769.292
1812,118501.138
1813,121520.56
1814,105143.434
1815,77878.972
1816,98805.172
1817,122550.972
1818,143933.664
1819,117172.842
1820,79657.516
1821,127834.58
1822,152034.566
1823,60815.15
1824,136522.152
1825,139479.996
1826,105394.848
1827,111038.152
1828,136183.784
1829,120077.548
1830,146147.1
1831,169376.584
1832,110034.61
1833,147810.696
1834,141869.174
1835,180523.742
1836,134749.894
1837,106917.028
1838,141661.61
1839,89407.184
1840,155045.982
1841,148602.082
1842,90030.472
1843,142848.02
1844,133302.118
1845,142021.28
1846,151895.232
1847,150232.504
1848,75311.358
1849,127495.962
1850,129638.56
1851,146502.276
1852,126688.188
1853,134117.262
1854,174385.562
1855,141222.35
1856,222308.448
1857,171533.982
1858,141746.462
1859,134413.73
1860,152881.372
1861,134114.504
1862,263452.5
1863,261915.138
1864,261915.138
1865,333280.746
1866,340698.394
1867,238143.088
1868,305638.042
1869,197022.506
1870,239879.404
1871,250266.874
1872,169697.542
1873,232435.448
1874,140414.264
1875,198578.878
1876,191858.104
1877,203847.12
1878,208445.212
1879,136731.136
1880,138181.46
1881,234598.276
1882,265131.276
1883,195476.32
1884,219856.694
1885,256858.88
1886,305038.112
1887,197434.644
1888,277789.24
1889,165765.964
1890,136398.092
1891,137028.132
1892,111415.326
1893,136358.252
1894,125894.928
1895,145245.024
1896,121446.572
1897,113069.838
1898,111031.394
1899,128846.946
1900,149354.808
1901,153588.3
1902,133197.674
1903,221952.07
1904,137869.41
1905,179105.202
1906,156033.5
1907,193507.114
1908,111897.6
1909,134596.656
1910,123698.826
1911,195527.874
1912,259471.694
1913,150228.332
1914,64143.524
1915,320704.516
1916,72289.992
1917,255865.708
1918,140134.25
1919,155820.544
1920,153244.672
1921,395485.948
1922,342658.162
1923,202812.95
1924,224285.522
1925,229686.448
1926,376966.718
1927,140320.932
1928,161065.024
1929,125079.862
1930,125201.132
1931,138996.106
1932,132319.716
1933,169620.352
1934,176660.506
1935,174284.686
1936,186022.558
1937,185926.2
1938,165123.576
1939,245338.268
1940,199543.85
1941,178166.396
1942,187710.79
